Date,home_team,away_team,home_score,away_score,elo_home,elo_away,elo_diff,home_form_wins,home_form_draws,home_form_losses,home_form_gf,home_form_ga,home_form_gd,away_form_wins,away_form_draws,away_form_losses,away_form_gf,away_form_ga,away_form_gd,outcome
1938-06-12,Sweden,Cuba,8,0,1503.375044353647,1514.062113224722,-10.687068871075098,1,0,1,4,4,0,1,1,0,5,4,1,1
1938-06-12,Italy,France,3,1,1593.220582354022,1500.3224761221481,92.89810623187395,4,1,0,7,3,4,2,0,3,9,7,2,1
1938-06-12,Hungary,Switzerland,2,0,1539.702474249493,1527.4287578912845,12.273716358208503,2,0,1,11,4,7,2,1,1,10,8,2,1
1938-06-12,Brazil,Czechoslovakia,1,1,1504.257360468182,1564.1906478269361,-59.933287358754114,2,0,2,12,10,2,4,0,1,12,6,6,0
1938-06-14,Brazil,Czechoslovakia,2,1,1506.9903356894447,1561.4576726056735,-54.46733691622876,2,1,2,13,11,2,3,1,1,11,6,5,1
1938-06-16,Italy,Brazil,2,1,1610.9520864069714,1525.4783005726415,85.47378583432987,5,0,0,9,3,6,3,1,1,14,10,4,1
1938-06-16,Hungary,Sweden,5,1,1562.8549884756428,1540.4820500837413,22.37293839190147,3,0,1,13,4,9,2,0,1,12,4,8,1
1938-06-19,Italy,Hungary,4,2,1623.0934065366048,1590.5515417310698,32.54186480553494,5,0,0,10,4,6,4,0,1,18,5,13,1
1938-06-19,Brazil,Sweden,4,2,1513.336980443008,1512.7854968283143,0.5514836146937796,2,1,2,11,12,-1,2,0,2,13,9,4,1
1950-06-24,Brazil,Mexico,4,0,1537.298885336495,1423.8979487729625,113.40093656353247,3,1,1,14,11,3,0,0,3,4,13,-9,1
1950-06-25,Yugoslavia,Switzerland,3,0,1513.1306935058826,1504.2762436651346,8.854449840747975,2,0,1,7,7,0,2,1,2,10,10,0,1
1950-06-25,Spain,USA,3,1,1509.7580429212496,1488.4351760653879,21.322866855861776,1,1,1,4,3,1,2,0,2,8,13,-5,1
1950-06-25,England,Chile,2,0,1500.0,1516.958569790603,-16.95856979060295,0,0,0,0,0,0,2,0,1,5,3,2,1
1950-06-25,Sweden,Italy,3,2,1488.8235919348274,1644.852044632969,-156.02845269814156,2,0,3,15,13,2,5,0,0,13,6,7,1
1950-06-28,Brazil,Switzerland,2,2,1557.5666851600643,1476.9896735632299,80.57701159683438,3,1,1,12,6,6,1,1,3,7,11,-4,0
1950-06-28,Yugoslavia,Mexico,4,1,1540.4172636077874,1403.6301489493933,136.7871146583941,3,0,1,10,7,3,0,0,4,4,17,-13,1
1950-06-29,Spain,Chile,2,0,1532.2869579635915,1491.7880427300622,40.49891523352926,2,1,1,7,4,3,2,0,2,5,5,0,1
1950-06-29,Sweden,Paraguay,2,2,1511.561950262337,1490.1479694266193,21.413980835717666,2,0,3,15,13,2,1,0,1,1,3,-2,0
1950-06-29,USA,England,1,0,1465.906261023046,1525.1705270605407,-59.264266037494735,2,0,3,9,16,-7,1,0,0,2,0,2,1
1950-07-01,Brazil,Yugoslavia,2,0,1553.9211045418563,1557.9298680049137,-4.0087634630574485,3,1,1,13,7,6,4,0,1,14,8,6,1
1950-07-02,Switzerland,Mexico,2,1,1480.6352541814379,1386.117544552267,94.5177096291709,1,2,2,7,10,-3,0,0,5,5,21,-16,1
1950-07-02,Spain,England,1,0,1553.5019941232074,1506.4674723021903,47.03452182101705,3,1,1,9,4,5,1,0,1,2,1,1,1
1950-07-02,Uruguay,Bolivia,8,0,1601.5980702984143,1443.2043466690025,158.39372362941185,4,0,0,15,3,12,0,0,2,0,8,-8,1
1950-07-02,Italy,Paraguay,2,0,1622.1136863054594,1491.1328728536432,130.98081345181618,4,0,1,13,8,5,1,1,1,3,5,-2,1
1950-07-02,Chile,USA,5,2,1470.5730065704463,1484.6093157813964,-14.036309210950094,2,0,3,5,7,-2,2,0,3,7,16,-9,1
1950-07-09,Uruguay,Spain,2,2,1622.23573162144,1567.349110078066,54.886621543374076,5,0,0,23,3,20,3,1,1,7,3,4,0
1950-07-09,Brazil,Sweden,7,1,1578.1980078237657,1510.577046835313,67.62096098845268,3,1,1,13,6,7,2,1,2,16,13,3,1
